dataset,k,Time,d_cpdag,TPR,FPR
13pathfinder,1,0.387867928,187,0.707692308,0.005528202
13pathfinder,2,0.352286816,169,0.733333333,0.004923555
13pathfinder,3,0.523383856,187,0.697435897,0.005700959
13pathfinder,4,0.283327103,173,0.712820513,0.005009933
13pathfinder,5,0.320976973,168,0.738461538,0.005096312
13pathfinder,6,0.271287918,173,0.717948718,0.004923555
13pathfinder,7,0.367277145,170,0.733333333,0.004750799
13pathfinder,8,0.271884918,146,0.78974359,0.004146152
13pathfinder,9,0.339049101,187,0.697435897,0.005441824
13pathfinder,10,0.271305084,177,0.753846154,0.00423253
14munin,1,0.644125938,131,0.897435897,0.002460673
14munin,2,0.667305946,136,0.904761905,0.002460673
14munin,3,0.708516836,138,0.897435897,0.002489967
14munin,4,0.693055868,112,0.93040293,0.002167736
14munin,5,0.648795128,112,0.919413919,0.00219703
14munin,6,0.994309902,140,0.919413919,0.002372792
14munin,7,0.699645996,118,0.934065934,0.002138442
14munin,8,0.755073071,120,0.926739927,0.00219703
14munin,9,0.701209068,108,0.904761905,0.002079855
14munin,10,0.910161018,128,0.923076923,0.001904092
15andes,1,1.434755087,198,0.943786982,0.003396518
15andes,2,1.814427853,207,0.946745562,0.003315164
15andes,3,1.024928093,208,0.949704142,0.003599902
15andes,4,1.109984875,204,0.937869822,0.003396518
15andes,5,1.028687,223,0.934911243,0.003782948
15andes,6,1.04526186,214,0.940828402,0.003538887
15andes,7,1.052805185,206,0.961538462,0.003620241
15andes,8,1.166110039,207,0.952662722,0.003477872
15andes,9,1.266933918,213,0.940828402,0.003538887
15andes,10,1.079387903,224,0.926035503,0.003660918
16diabetes,1,2.677938938,271,0.855481728,0.001096996
16diabetes,2,2.847337008,276,0.862126246,0.0010852
16diabetes,3,3.152439833,277,0.860465116,0.001073404
16diabetes,4,2.665260077,270,0.860465116,0.001073404
16diabetes,5,2.875751972,250,0.873754153,0.001014426
16diabetes,6,3.751641035,274,0.848837209,0.001102893
16diabetes,7,2.624783993,261,0.870431894,0.001043915
16diabetes,8,3.102425098,274,0.862126246,0.001120587
16diabetes,9,3.103855133,245,0.873754153,0.001014426
16diabetes,10,3.204568863,256,0.863787375,0.00100263
17pigs,1,3.485004902,631,0.625,0.001907489
17pigs,2,3.994314909,625,0.643581081,0.00181961
17pigs,3,4.63686204,624,0.638513514,0.00181961
17pigs,4,3.240249872,636,0.636824324,0.001866135
17pigs,5,3.314727068,617,0.646959459,0.001814441
17pigs,6,3.969312191,622,0.635135135,0.001840288
17pigs,7,3.61726594,607,0.648648649,0.001814441
17pigs,8,3.499264002,644,0.616554054,0.00190232
17pigs,9,4.169649124,642,0.623310811,0.00190232
17pigs,10,4.652215004,641,0.628378378,0.001917828
18link,1,9.975549936,1456,0.470222222,0.001937484
18link,2,8.765113115,1397,0.495111111,0.001862818
18link,3,11.46681714,1427,0.48,0.001889621
18link,4,11.20166302,1477,0.467555556,0.001948971
18link,5,10.22133303,1451,0.472888889,0.001925997
18link,6,10.20406103,1510,0.456888889,0.002006406
18link,7,11.27528501,1449,0.48,0.001927911
18link,8,8.613360167,1460,0.469333333,0.001939398
18link,9,10.00987506,1461,0.471111111,0.001941313
18link,10,8.437849045,1469,0.458666667,0.001943227